integrantes,vinculacion,horas_dedicacion,url,grupo,inicio_vinculacion,fin_vinculacion,posgrade,clasification,id_scholar,h_index,total_papers
CESAR AUGUSTO VALENCIA BAQUERO,Integrante,2,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000574503,CONTAS,2016-01-01, Actual,Maestría/Magister,Sin clasificar,NA,0,0
DIEGO ALEJANDRO RAMIREZ TAPIAS,Integrante,8,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001437009,CONTAS,2019-02-01, Actual,Maestría/Magister,Investigador Junior (IJ),opg3irUAAAAJ,3,2
ELKIN HORACIO QUIROS LIZARAZO,Integrante,6,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000439843,CONTAS,2003-02-01, Actual,Maestría/Magister,Investigador Asociado (I),WvCLonoAAAAJ,5,0
FARLEY SARY ROJAS RESTREPO,Integrante,4,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000009209,CONTAS,2016-05-01, Actual,Maestría/Magister,Investigador Junior (IJ),Q0JvK8cAAAAJ,6,8
JOHN FERNANDO DIOSSA CASTRO,Integrante,6,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001471004,CONTAS,2015-01-01, Actual,Maestría/Magister,Sin clasificar,NA,0,1
LEIDY PATRICIA RODRIGUEZ PINEROS,Integrante,2,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001836432,CONTAS,2020-06-01, Actual,Pregrado/Universitario,Sin clasificar,NA,0,0
LUZ MERY ORTIZ SANCHEZ,Integrante,0,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001322788,CONTAS,2019-01-01, Actual,Maestría/Magister,Sin clasificar,NA,0,3
MARIELA VELASQUEZ PEREZ,Integrante,8,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001500476,CONTAS,2019-01-01, Actual,CvLAC oculto,CvLAC oculto,NA,0,0
MARLON DAVID GARCIA JIMENEZ,Integrante,20,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001366775,CONTAS,2016-01-01, Actual,Maestría/Magister,Sin clasificar,zwGXNrAAAAAJ,4,2
MAURICIO ALEJANDRO BEDOYA JIMENEZ,Integrante,2,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001429266,CONTAS,2016-01-01, Actual,Maestría/Magister,Sin clasificar,wDY8t8gAAAAJ,1,3
OLGA PATRICIA VASQUEZ MONTOYA,Integrante,2,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001409276,CONTAS,2015-02-01, Actual,Maestría/Magister,Sin clasificar,NA,0,1
PAULA ANDREA USQUIANO YEPES,Integrante,8,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001757791,CONTAS,2019-01-01, Actual,Especialización,Sin clasificar,NA,0,0
RUBY STELLA CABRERA JARAMILLO,Integrante,4,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001580615,CONTAS,2019-02-01, Actual,Maestría/Magister,Sin clasificar,_Swwv5oAAAAJ,1,3
SOL BEATRIZ VELEZ ESCOBAR,Integrante,8,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001530033,CONTAS,2020-06-01, Actual,Maestría/Magister,Sin clasificar,NA,0,0
NATALIA ANDREA ALZATE ALZATE,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000964875,LUES,2020-01-01, Actual,Doctorado,Sin clasificar,sAljacYAAAAJ,1,0
JENNY MARCELA ACEVEDO VALENCIA,Integrante,20,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001186337,LUES,2014-11-01, Actual,Maestría/Magister,Sin clasificar,ul0fN9wAAAAJ,4,2
ALFREDO MANUEL GHISO COTOS,Integrante,4,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000020192,LUES,1999-01-01, Actual,CvLAC oculto,CvLAC oculto,Cj2hqc4AAAAJ,3,2
ANGELA MARIA VELASQUEZ VELASQUEZ,Integrante,20,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000117510,LUES,2017-01-01, Actual,Doctorado,Investigador Junior (IJ),BbHGEOcAAAAJ,3,0
